45,25,0
75,25,0
120,10,0
60,25,0
60,35,0
75,35,0
45,35,0
55,40,0
55,50,0
60,45,0
55,40,0
50,40,0
45,45,0
50,50,0
50,55,0
75,55,0
45,55,0
45,65,0
50,70,0
75,70,0
120,100,0
45,70,0
45,80,0
50,85,0
55,85,0
60,90,0
55,95,0
50,95,0
45,90,0
50,85,0
45,90,0
35,25,0
10,25,0
20,30,0
10,35,0
35,35,0
20,35,0
20,40,0
25,45,0
20,50,0
15,50,0
10,45,0
15,40,0
20,40,0
25,45,0
20,50,0
25,55,0
10,55,0
20,55,0
25,60,0
20,65,0
20,70,0
35,70,0
10,70,0
10,80,0
15,85,0
20,85,0
25,90,0
25,95,0
35,95,0
15,95,0
10,90,0
15,85,0
10,90,0
0,0,0
